Name              : Mike Miller
Special Equipment : None
Goal              : correct data is returned using Retrieve_Turnout_ID
Setup             : None
Implementation    : Run test_layout.adb 
Expected Results  : Expect all block ids and polarity inputed into Retrieve_Turnout_ID return expected turnout id
Exhaustive Testing: This is an exhaustive test. there are 23 tests for this

Data              : 
BlockId 	Polarity 	TurnoutId
2		Normal		6
8		Normal		12
10		Normal		15
13		Normal		2
15		Normal		5
18		Normal		17
21		Normal		21
24		Normal		11
31		Normal		1
2		Reversed	3
4		Reversed	18
6		Reversed	22
7		Reversed	23
8		Reversed	10
10		Reversed	13
15		Reversed	4
17		Reversed	7
18		Reversed	8
20		Reversed	19
21		Reversed	20
26		Reversed	14
31		Reversed	16
35		Reversed	9
